number_in_quran	sura_no	aya_no	text
1	1	1	"سُورَة الفاتِحَة" مَكِّيَّة سَبْع آيات بِالبَسْمَلَةِ إنْ كانَتْ مِنها والسّابِعَة صِراط الَّذِينَ إلى آخِرها وإنْ لَمْ تَكُنْ مِنها فالسّابِعَة غَيْر المَغْضُوب إلى آخِرها ويُقَدَّر فِي أوَّلها قُولُوا لِيَكُونَ ما قَبْل إيّاكَ نَعْبُد مُناسِبًا لَهُ بِكَوْنِها مِن مَقُول العِباد
2	1	2	﴿الحَمْد لِلَّهِ﴾ جُمْلَة خَبَرِيَّة قُصِدَ بِها الثَّناء عَلى اللَّه بِمَضْمُونِها عَلى أنَّهُ تَعالى مالِك لِجَمِيعِ الحَمْد مِن الخَلْق أوْ مُسْتَحِقّ لِأَنْ يَحْمَدُوهُ واللَّه عَلَم عَلى المَعْبُود بِحَقٍّ. ﴿رَبّ العالَمِينَ﴾ أيْ مالِك جَمِيع الخَلْق مِن الإنْس والجِنّ والمَلائِكَة والدَّوابّ وغَيْرهمْ وكُلّ مِنها يُطْلَق عَلَيْهِ عالَم يُقال عالَم الإنْس وعالَم الجِنّ إلى غَيْر ذَلِك وغَلَبَ فِي جَمْعه بِالياءِ والنُّون أُولِي العِلْم عَلى غَيْرهمْ وهُوَ مِن العَلامَة لِأَنَّهُ عَلامَة عَلى مُوجِده.
3	1	3	﴿الرَّحْمَن الرَّحِيم﴾ أيْ ذِي الرَّحْمَة وهِيَ إرادَة الخَيْر لِأَهْلِهِ.
4	1	4	﴿مالِك يَوْم الدِّين﴾ أيْ الجَزاء وهُوَ يَوْم القِيامَة وخُصّ بِالذِّكْرِ لِأَنَّهُ لا مُلْك ظاهِرًا فِيهِ لِأَحَدٍ إلّا لِلَّهِ تَعالى بِدَلِيلِ ﴿لِمَن المُلْك اليَوْم ؟ لِلَّهِ﴾ ومَن قَرَأَ مالِك فَمَعْناهُ مالِك الأَمْر كُلّه فِي يَوْم القِيامَة أوْ هُوَ مَوْصُوف بِذَلِك دائِمًا "كَغافِرِ الذَّنْب" فَصَحَّ وُقُوعه صِفَة لِمَعْرِفَةِ.
5	1	5	﴿إيّاكَ نَعْبُد وإيّاكَ نَسْتَعِين﴾ أيْ نَخُصّك بِالعِبادَةِ مِن تَوْحِيد وغَيْره ونَطْلُب المَعُونَة عَلى العِباد وغَيْرها.
6	1	6	﴿اهْدِنا الصِّراط المُسْتَقِيم﴾ أيْ أرْشِدْنا إلَيْهِ ويُبْدَل مِنهُ
7	1	7	﴿صِراط الَّذِينَ أنْعَمْت عَلَيْهِمْ﴾ بِالهِدايَةِ ويُبْدَل مِن الَّذِينَ لِصِلَتِهِ بِهِ. ﴿غَيْر المَغْضُوب عَلَيْهِمْ﴾ وهُمْ اليَهُود ﴿ولا﴾ وغَيْر ﴿الضّالِّينَ﴾ وهُمْ النَّصارى ونُكْتَة البَدَل إفادَة أنَّ المُهْتَدِينَ لَيْسُوا يَهُودَ ولا نَصارى واللَّه أعْلَم بِالصَّوابِ وإلَيْهِ المَرْجِع والمَآب وصَلّى اللَّه عَلى سَيِّدنا مُحَمَّد وعَلى آله وصَحْبه وسَلَّمَ تَسْلِيمًا كَثِيرًا
8	2	1	"سُورَة البَقَرَة" مَدَنِيَّة مِائَتانِ وسِتّ أوْ سَبْع وثَمانُونَ آيَة ﴿الم﴾ اللَّه أعْلَم بِمُرادِهِ بِذَلِكَ.
9	2	2	﴿ذَلِك﴾ أيْ هَذا ﴿الكِتاب﴾ الَّذِي يَقْرَؤُهُ مُحَمَّد. ﴿لا رَيْب﴾ لا شَكَّ ﴿فِيهِ﴾ أنَّهُ مِن عِنْد اللَّه وجُمْلَة النَّفْي خَبَر مُبْتَدَؤُهُ ذَلِك والإشارَة بِهِ لِلتَّعْظِيمِ ﴿هُدًى﴾ خَبَر ثانٍ أيْ هادٍ ﴿لِلْمُتَّقِينَ﴾ الصّائِرِينَ إلى التَّقْوى بِامْتِثالِ الأَوامِر واجْتِناب النَّواهِي لِاتِّقائِهِمْ بِذَلِكَ النّار
10	2	3	﴿الَّذِينَ يُؤْمِنُونَ﴾ يُصَدِّقُونَ ﴿بِالغَيْبِ﴾ بِما غابَ عَنْهُمْ مِن البَعْث والجَنَّة والنّار ﴿ويُقِيمُونَ الصَّلاة﴾ أيْ يَأْتُونَ بِها بِحُقُوقِها ﴿ومِمّا رَزَقْناهُمْ﴾ أعْطَيْناهُمْ ﴿يُنْفِقُونَ﴾ فِي طاعَة اللَّه
11	2	4	﴿والَّذِينَ يُؤْمِنُونَ بِما أُنْزِلَ إلَيْك﴾ أيْ القُرْآن ﴿وما أُنْزِلَ مِن قَبْلك﴾ أيْ التَّوْراة والإنْجِيل وغَيْرهما ﴿وبِالآخِرَةِ هُمْ يُوقِنُونَ﴾ يَعْلَمُونَ
12	2	5	﴿أُولَئِكَ﴾ المَوْصُوفُونَ بِما ذُكِرَ ﴿عَلى هُدًى مِن رَبّهمْ وأُولَئِكَ هُمْ المُفْلِحُونَ﴾ الفائِزُونَ بِالجَنَّةِ النّاجُونَ مِن النّار
13	2	6	﴿إنّ الَّذِينَ كَفَرُوا﴾ كَأَبِي جَهْل وأَبِي لَهَب ونَحْوهما ﴿سَواء عَلَيْهِمْ أأَنْذَرْتهمْ﴾ بِتَحْقِيقِ الهَمْزَتَيْنِ وإبْدال الثّانِيَة ألِفًا وتَسْهِيلها وإدْخال ألِف بَيْن المُسَهَّلَة والأُخْرى وتَرْكه ﴿أمْ لَمْ تُنْذِرهُمْ لا يُؤْمِنُونَ﴾ لِعِلْمِ اللَّه مِنهُمْ ذَلِك فَلا تَطْمَع فِي إيمانهمْ والإنْذار إعْلام مَعَ تَخْوِيف.
14	2	7	﴿خَتَمَ اللَّه عَلى قُلُوبهمْ﴾ طَبَعَ عَلَيْها واسْتَوْثَقَ فَلا يَدْخُلها خَيْر ﴿وعَلى سَمْعهمْ﴾ أيْ مَواضِعه فَلا يَنْتَفِعُونَ بِما يَسْمَعُونَهُ مِن الحَقّ ﴿وعَلى أبْصارهمْ غِشاوَة﴾ غِطاء فَلا يُبْصِرُونَ الحَقّ ﴿ولَهُمْ عَذاب عَظِيم﴾ قَوِيّ دائِم
15	2	8	﴿ومِن النّاس مَن يَقُول آمَنّا بِاللَّهِ وبِاليَوْمِ الآخِر﴾ ونَزَلَ فِي المُنافِقِينَ أيْ يَوْم القِيامَة لِأَنَّهُ آخِر الأَيّام ﴿وما هُمْ بِمُؤْمِنِينَ﴾ رُوعِيَ فِيهِ مَعْنى مِن وفِي ضَمِير يَقُول لَفْظها
16	2	9	﴿يُخادِعُونَ اللَّه والَّذِينَ آمَنُوا﴾ بِإظْهارِ خِلاف ما أبْطَنُوهُ مِن الكُفْر لِيَدْفَعُوا عَنْهُمْ أحْكامه الدُّنْيَوِيَّة ﴿وما يَخْدَعُونَ إلّا أنَفْسهمْ﴾ لِأَنَّ وبال خِداعهمْ راجِع إلَيْهِمْ فَيُفْتَضَحُونَ فِي الدُّنْيا بِإطْلاعِ اللَّه نَبِيّه عَلى ما أبْطَنُوهُ ويُعاقَبُونَ فِي الآخِرَة ﴿وما يَشْعُرُونَ﴾ يَعْلَمُونَ أنَّ خِداعهمْ لِأَنْفُسِهِمْ والمُخادَعَة هُنا مِن واحِد كَعاقَبْت اللِّصّ وذِكْر اللَّه فِيها تَحْسِين وفِي قِراءَة وما يَخْدَعُونَ
17	2	10	﴿فِي قُلُوبهمْ مَرَض﴾ شَكّ ونِفاق فَهُوَ يُمْرِض قُلُوبهمْ أيْ يُضْعِفها ﴿فَزادَهُمْ اللَّه مَرَضًا﴾ بِما أنْزَلَهُ مِن القُرْآن لِكُفْرِهِمْ بِهِ ﴿ولَهُمْ عَذاب ألِيم﴾ مُؤْلِم ﴿بِما كانُوا يُكَذِّبُونَ﴾ بِالتَّشْدِيدِ أيْ: نَبِيّ اللَّه وبِالتَّخْفِيفِ أيْ قَوْلهمْ آمَنّا
18	2	11	﴿وإذا قِيلَ لَهُمْ﴾ أيْ لِهَؤُلاءِ ﴿لا تُفْسِدُوا فِي الأَرْض﴾ بِالكُفْرِ والتَّعْوِيق عَنْ الإيمان ﴿قالُوا إنّما نَحْنُ مُصْلِحُونَ﴾ ولَيْسَ ما نَحْنُ فِيهِ بِفَسادٍ قالَ اللَّه تَعالى رَدًّا عَلَيْهِمْ:
19	2	12	﴿ألا﴾ لِلتَّنْبِيهِ ﴿إنّهُمْ هُمْ المُفْسِدُونَ ولَكِنْ لا يَشْعُرُونَ﴾ بِذَلِكَ.
20	2	13	﴿وإذا قِيلَ لَهُمْ آمِنُوا كَما آمَنَ النّاس﴾ أصْحاب النَّبِيّ ﷺ ﴿قالُوا أنُؤْمِنُ كَما آمَنَ السُّفَهاء﴾ الجُهّال أيْ لا نَفْعَل كَفِعْلِهِمْ قالَ تَعالى رَدًّا عَلَيْهِمْ: ﴿ألا إنّهُمْ هُمْ السُّفَهاء ولَكِنْ لا يَعْلَمُونَ﴾ ذَلِك
